Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,State and Province,County,Duration,Native Status,Invasive,Berry/Nut/Seed Product,Palatable Human,Protein Potential
ABTH,,Abutilon theophrasti,velvetleaf,"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clay, Craighead, Cross, Drew, Faulkner, Garland, Howard, Independence, Izard, Jefferson, Lincoln, Lonoke, Madison, Marion, Mississippi, Nevada, Newton, Poinsett, Pope, Randolph, St. Francis, Stone, Washington)",Annual,L48(I)CAN(I),"KY, N'EAST, NE&GP, STATE, SWSS, WSWS",,,
ACAN11,,Acaciella angustissima,prairie acacia,"USA(AR, AZ, FL, KS, LA, MO, NM, OK, TX)","AR(Benton, Carroll, Clark, Hempstead, Izard, Jackson, Madison, Marion, Pope, Sharp, Washington)",Perennial,L48(N),,,,
ACANH2,,Acaciella angustissima var. hirta,prairie acacia,"USA(AR, AZ, FL, KS, LA, MO, NM, OK, TX)","AR(Benton, Carroll, Clark, Hempstead, Izard, Jackson, Madison, Marion, Pope, Sharp, Washington)",Perennial,L48(N),,,,
ACDE4,,Acalypha deamii,Deam's threeseed mercury,"USA(AR, IA, IL, IN, KS, KY, MO, OH, PA, TN, VA)",,Annual,L48(N),,,,
ACGR2,,Acalypha gracilens,slender threeseed mercury,"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleburne, Cleveland, Conway, Crawford, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Little River, Logan, Marion, Miller, Montgomery, Newton, Perry, Poinsett, Polk, Pope, Pulaski, Stone, Union, Washington, Yell)",Annual,L48(N),,,,
ACMO4,,Acalypha monococca,slender threeseed mercury,"USA(AR, IL, KS, LA, MO, OK, TX)","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleburne, Conway, Crawford, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Johnson, Lafayette, Little River, Logan, Marion, Montgomery, Newton, Perry, Polk, Pope, Pulaski, Stone, Union, Washington, Yell)",Annual,L48(N),,,,
ACOS,,Acalypha ostryifolia,pineland threeseed mercury,"USA+(PR, VI), USA(AL, AR, AZ, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WV)","AR(Arkansas, Benton, Boone, Bradley, Carroll, Conway, Crittenden, Cross, Desha, Drew, Faulkner, Franklin, Garland, Izard, Jefferson, Lincoln, Lonoke, Mississippi, Newton, Poinsett, Polk, Pope, Pulaski, Saline, St. Francis, Stone, Yell)",Annual,L48(N)PR(N)VI(N),"KY, SWSS",,,
ACRH,,Acalypha rhomboidea,common threeseed mercury,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Ashley, Baxter, Benton, Chicot, Clark, Clay, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Hot Spring, Independence, Izard, Jefferson, Lawrence, Lee, Lincoln, Madison, Marion, Mississippi, Monroe, Montgomery, Newton, Phillips, Pike, Poinsett, Polk, Pope, Saline, Searcy, St. Francis, Stone, Union, Washington, Yell)",Annual,L48(N)CAN(N),,,,
ACVI,,Acalypha virginica,Virginia threeseed mercury,"USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Newton, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, Yell)",Annual,L48(N),"N'EAST, SWSS",No,No,Low
ACAU2,,Acanthospermum australe,Paraguayan starbur,"USA(AL, AR, FL, GA, HI, LA, MA, MS, NC, NY, OR, PA, SC, TN, TX, VA)",AR(Union),"Annual, Perennial",L48(I)HI(I),,,,
